condition_group,condition_ids_json,ja_map_json,category_count,example_categories,last_synced
27,"[1000, 1500, 2500, 3000, 3010, 7000]","{""1000"": ""新品/未使用"", ""1500"": ""未使用に近い"", ""2500"": ""整備済み"", ""3000"": ""目立った傷や汚れなし"", ""3010"": ""傷や汚れあり"", ""7000"": ""ジャンク品""}",1,Test Category 4,2026-05-01
28,"[1000, 1750, 3000, 3010, 7000]","{""1000"": ""新品/未使用"", ""1750"": ""新品/未使用（訳あり）"", ""3000"": ""目立った傷や汚れなし"", ""3010"": ""傷や汚れあり"", ""7000"": ""ジャンク品""}",1,Test Category 3,2026-05-01
29,"[1000, 1500, 2500]","{""1000"": ""新品/未使用"", ""1500"": ""未使用に近い"", ""2500"": ""整備済み""}",1,Air & Water Flossers,2026-05-01
30,"[1000, 3000, 4000, 5000, 6000]","{""1000"": ""新品/未使用"", ""3000"": ""目立った傷や汚れなし"", ""4000"": ""やや傷や汚れあり"", ""5000"": ""傷や汚れあり"", ""6000"": ""全体的に状態が悪い""}",1,Vintage Manuals & Guides,2026-05-01
31,"[1000, 2750, 4000]","{""1000"": ""新品/未使用"", ""2750"": ""鑑定済み（Graded）"", ""4000"": ""未鑑定（Ungraded）""}",1,Category 2,2026-05-01
32,"[2750, 4000]","{""2750"": ""鑑定済み（Graded）"", ""4000"": ""未鑑定（Ungraded）""}",1,Attributes6_Test,2026-05-01
A,"[1000, 1500, 2500, 3000, 7000]","{""1000"": ""新品/未使用"", ""1500"": ""未使用に近い"", ""2500"": ""整備済み"", ""3000"": ""目立った傷や汚れなし"", ""7000"": ""ジャンク品""}",22495,"Cutlery Storage, Accessory Mounts, Data Loggers",2026-05-01
B,"[1000, 3000]","{""1000"": ""新品/未使用"", ""3000"": ""目立った傷や汚れなし""}",11941,"Origami, Toilet Frames & Commodes, Mining Memorabilia",2026-05-01
C,"[1000, 1500, 1750, 3000]","{""1000"": ""新品/未使用"", ""1500"": ""未使用に近い"", ""1750"": ""新品/未使用（訳あり）"", ""3000"": ""目立った傷や汚れなし""}",2793,"Tapestries, Ankle Braces & Supports, Armoured Shorts & Trousers",2026-05-01
D,"[1000, 1500, 1750, 2500, 2750, 3000, 4000, 5000, 6000, 7000]","{""1000"": ""新品/未使用"", ""1500"": ""未使用に近い"", ""1750"": ""新品/未使用（訳あり）"", ""2500"": ""整備済み"", ""2750"": ""ほぼ新品"", ""3000"": ""目立った傷や汚れなし"", ""4000"": ""やや傷や汚れあり"", ""5000"": ""傷や汚れあり"", ""6000"": ""全体的に状態が悪い"", ""7000"": ""ジャンク品""}",5617,"Architecture, Central America, Madagascar",2026-05-01
E,"[1000, 1500, 3000, 7000]","{""1000"": ""新品/未使用"", ""1500"": ""未使用に近い"", ""3000"": ""目立った傷や汚れなし"", ""7000"": ""ジャンク品""}",7757,"Cooking Appliance Parts, Air Compressor Accessory Kits, Air Hose Reels",2026-05-01
F,[1000],"{""1000"": ""新品/未使用""}",1259,"Detox Pads, Liquorice, Nappies (Cloth)",2026-05-01
G,"[1000, 1500, 3000]","{""1000"": ""新品/未使用"", ""1500"": ""未使用に近い"", ""3000"": ""目立った傷や汚れなし""}",768,"Rolling Pins, Trivets, Cookie Cutters",2026-05-01
H,"[1000, 2750, 4000, 5000, 6000]","{""1000"": ""新品/未使用"", ""2750"": ""ほぼ新品"", ""4000"": ""やや傷や汚れあり"", ""5000"": ""傷や汚れあり"", ""6000"": ""全体的に状態が悪い""}",912,"Antiquarian & Collectable, Collectors' Guides & Books, Price Guides & Publications",2026-05-01
I,"[1000, 1500, 1750, 2990, 3000, 3010]","{""1000"": ""新品・タグ付き"", ""1500"": ""未使用に近い"", ""1750"": ""新品/未使用（訳あり）"", ""2990"": ""目立った傷や汚れなし"", ""3000"": ""目立った傷や汚れなし（使用感あり）"", ""3010"": ""傷や汚れあり""}",1439,"Women's Bags & Handbags, Test Category 2, Test Category 3",2026-05-01
J,"[1000, 3000, 4000]","{""1000"": ""新品/未使用"", ""3000"": ""目立った傷や汚れなし"", ""4000"": ""やや傷や汚れあり""}",157,"Category 5.1, Category 5.2, Test Category 1",2026-05-01
K,"[1000, 1500]","{""1000"": ""新品/未使用"", ""1500"": ""未使用に近い""}",424,"Skin Care Sets & Kits, Gel Nail Polish, Serum & Oils",2026-05-01
